Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
TSLA,Tesla Inc,COMMON STOCK,88160R101,"1,052,546",8.2%,"2,831,329",,
AMD,Advanced Micro Devices Inc,COMMON STOCK,7903107,"551,875",4.3%,"2,712,854",,
CRSP,CRISPR Therapeutics AG,COMMON STOCK,H17182108,"538,189",4.2%,"11,313,623",,
SHOP,Shopify Inc,COMMON STOCK,82509L107,"495,553",3.9%,"4,177,652",,
PLTR,Palantir Technologies Inc,COMMON STOCK,69608A108,"454,913",3.5%,"3,109,881",,
TEM,Tempus AI Inc,COMMON STOCK,88023B103,"434,462",3.4%,"9,607,745",,
CRCL,Circle Internet Group Inc,COMMON STOCK,172573107,"430,249",3.3%,"4,509,482",,
HOOD,Robinhood Markets Inc,COMMON STOCK,770700102,"416,012",3.2%,"6,003,061",,
COIN,Coinbase Global Inc,COMMON STOCK,19260Q107,"414,329",3.2%,"2,372,884",,
TER,Teradyne Inc,COMMON STOCK,880770102,"369,128",2.9%,"1,245,122",,
ROKU,Roku Inc,COMMON STOCK,77543R102,"361,486",2.8%,"3,820,405",,
RBLX,ROBLOX Corp,COMMON STOCK,771049103,"333,483",2.6%,"5,896,106",,
TWST,Twist Bioscience Corp,COMMON STOCK,90184D100,"301,406",2.3%,"6,342,733",,
BEAM,Beam Therapeutics Inc,COMMON STOCK,07373V105,"289,139",2.2%,"12,133,433",,
AMZN,Amazon.com Inc,COMMON STOCK,23135106,"282,264",2.2%,"1,355,283",,
TXG,10X Genomics Inc,COMMON STOCK,88025U109,"248,758",1.9%,"11,717,317",,
KTOS,Kratos Defense & Security Solutions Inc.,COMMON STOCK,50077B207,"246,164",1.9%,"3,491,194",,
BLSH,Bullish,COMMON STOCK,G16910120,"234,461",1.8%,"6,562,039",,
DE,Deere & Co,COMMON STOCK,244199105,"224,798",1.7%,"399,074",,
TSM,Taiwan Semiconductor Manufacturing Company Ltd,ADR,874039100,"212,132",1.6%,"627,704",,
GOOG,Alphabet Inc,COMMON STOCK,02079K107,"206,658",1.6%,"720,414",,
CRWV,CoreWeave Inc,COMMON STOCK,21873S108,"196,628",1.5%,"2,538,125",,
ACHR,Archer Aviation Inc,COMMON STOCK,03945R102,"193,549",1.5%,"37,437,062",,
BMNR,BitMine Immersion Technologies,COMMON STOCK,09175A206,"191,849",1.5%,"9,699,165",,
SQ,Block Inc,COMMON STOCK,852234103,"186,193",1.4%,"3,093,936",,
NTLA,Intellia Therapeutics Inc,COMMON STOCK,45826J105,"186,008",1.4%,"14,509,247",,
NVDA,NVIDIA Corp,COMMON STOCK,67066G104,"180,578",1.4%,"1,035,426",,
